Species	Pigment_gone	Photoreceptor_cell	Image_number	Direction	Angle
Wendtii	Yes	Wendtii_no_pigment_4	60	Left	64.39
Wendtii	Yes	Wendtii_no_pigment_4	70	Left	64.25
Wendtii	Yes	Wendtii_no_pigment_4	80	Left	59.1
Wendtii	Yes	Wendtii_no_pigment_4	90	Left	57.87
Wendtii	Yes	Wendtii_no_pigment_4	100	Left	55.99
Wendtii	Yes	Wendtii_no_pigment_4	110	Left	52.33
Wendtii	Yes	Wendtii_no_pigment_4	120	Left	48.62
Wendtii	Yes	Wendtii_no_pigment_4	130	Left	53.73
Wendtii	Yes	Wendtii_no_pigment_4	140	Left	59.54
Wendtii	Yes	Wendtii_no_pigment_4	150	Left	67
Wendtii	Yes	Wendtii_no_pigment_4	160	Left	59.28
Wendtii	Yes	Wendtii_no_pigment_4	170	Left	63.17
Wendtii	Yes	Wendtii_no_pigment_5	0	Left	57.78
Wendtii	Yes	Wendtii_no_pigment_5	10	Left	58.19
Wendtii	Yes	Wendtii_no_pigment_5	20	Left	64.78
Wendtii	Yes	Wendtii_no_pigment_5	30	Left	71.64
Wendtii	Yes	Wendtii_no_pigment_5	40	Left	71.22
Wendtii	Yes	Wendtii_no_pigment_5	50	Left	69.38
Wendtii	Yes	Wendtii_no_pigment_5	60	Left	60.69
Wendtii	Yes	Wendtii_no_pigment_5	70	Left	76.67
Wendtii	Yes	Wendtii_no_pigment_5	80	Left	78.66
Wendtii	Yes	Wendtii_no_pigment_5	90	Left	68.83
Wendtii	Yes	Wendtii_no_pigment_5	100	Left	66.4
Wendtii	Yes	Wendtii_no_pigment_5	110	Left	65.29
Wendtii	Yes	Wendtii_no_pigment_5	120	Left	65.33
Wendtii	Yes	Wendtii_no_pigment_5	130	Left	63.1
Wendtii	Yes	Wendtii_no_pigment_5	140	Left	67.61
Wendtii	Yes	Wendtii_no_pigment_5	150	Left	71.34
Wendtii	Yes	Wendtii_no_pigment_5	160	Left	67.7
Wendtii	Yes	Wendtii_no_pigment_5	170	Left	63.38
Wendtii	Yes	Wendtii_no_pigment_6	0	Left	68.02
Wendtii	Yes	Wendtii_no_pigment_6	10	Left	68.68
Wendtii	Yes	Wendtii_no_pigment_6	20	Left	73.73
Wendtii	Yes	Wendtii_no_pigment_6	30	Left	78.29
Wendtii	Yes	Wendtii_no_pigment_6	40	Left	86.57
Wendtii	Yes	Wendtii_no_pigment_6	50	Left	84.33
